,상품명,가격,상품평 수
0,"충남오감 세도농협 GAP 인증 대추방울토마토, 1kg, 1박스",9900,8497
1,"농협 당도선별 성주 미니 참외, 2kg, 1봉",12900,4164
2,"제스프리 썬골드 키위, 92~100g, 12개",11900,5148
3,"탐사수, 2L, 12개",6420,344200
4,"곰곰 국내산 신선한 햇감자, 1kg, 1봉",3300,4592
5,"서울우유 1급A우유, 2300ml, 1개",4890,54647
6,"곰곰 샘물, 2L, 12개",5570,2631
7,"쿠팡 브랜드 - 탐사수, 500ml, 20개",3610,22200
8,"곰곰 무항생제 신선한 특란, 30구, 1개",4990,5844
9,"오뚜기 진비빔면 156g, 4개",2700,3964
10,"프라이드 블랙타이거새우 LIVE Frozen (냉동), 500g(15미), 1개",15700,567
11,"참맛나라 신선한 알이 듬뿍 알탕, 1265g, 1개",12900,3256
12,"셰프초이스 춘천식닭갈비 (냉장), 1kg, 1개",12900,5256
13,"꿀맛나는 세상 흑돼지 양념 불고기 (냉동), 400g, 3팩",11900,9319
14,"돌 아보카도 대용량팩, 1kg, 1개",9900,1799
15,"농협 고당도 논산수박, 7kg 미만, 1통",15900,1030
16,"실속 핫도그 4종 세트, 1세트",9900,643
17,"서울우유 비요뜨 초코링 요거트, 143g, 12개",12220,8057
18,"미각제빵소 프리미엄 생식빵, 500g, 1개",5790,1365
19,"곰곰 국내산 햇양파, 3kg, 1봉",4850,4136
20,"즉석구이땅콩버터오징어입 (냉동), 70g, 5봉",14840,18
21,"곰곰 납작한 떡갈비, 1000g, 1개",9990,584
22,"곰곰 돌돌말이 대패 삼겹살 (냉동), 1kg, 1개",11300,2634
23,"크리스탈팜스 호주산 곡물비육 소고기 안창살 구이용 (냉장), 300g, 1개",12800,1726
24,"남양유업 맛있는 우유 GT, 900ml, 2개",3910,9622
25,"국내산 백오이 5입, 1봉",1980,1923
26,"국내산 애호박, 250g, 1개",950,8772
27,"아빠가 만든 구운계란 60구, 2kg, 1개",14800,3070
28,"곰곰 양념 소불고기 (냉장), 1kg, 1개",14990,7011
29,"곰곰 당도선별 하우스 수박, 7kg미만, 1통",15900,940
30,"외갓집 송탄 서정리 부대찌개 (냉동), 1kg, 2개",12440,9358
31,"곰곰 제주 흑돼지 불고기 (냉장), 500g, 2개",9900,457
32,"떠먹는 아이스홍시 (냉동), 420g(6입), 5팩",14830,181
33,"무농약인증 후레쉬가든샐러드, 500g, 1개",6960,5037
34,"삼립 로만밀 통밀식빵, 420g, 2개입",4160,8575
35,"친환경 인증 팽이버섯, 150g, 3팩",1200,4138
36,"곰곰 대추방울토마토, 750g, 1팩",4480,3943
37,"곰곰 2019년 소중한 우리 쌀, 10kg, 1개",25850,58409
38,"농협 당도선별 성주 참외 박스, 2kg(5~8과), 1박스",14500,2994
39,"곰곰 노르웨이 간고등어살 1kg, 1개",11380,3886
40,"프레시지 더큰 밀푀유 나베, 965g, 1개",13900,6307
41,"곰곰 하남식쭈꾸미 보통매운맛 (냉동), 450g, 1개",9990,2285
42,"제주 탐사수, 2L, 6개",5100,1660
43,"곰곰 무항생제 신선한 대란, 30구, 1개",4790,4037
44,"제주 삼다수, 500ml, 40개",14620,20889
45,"맑은물에 국산콩 100% 촌두부, 300g, 2개",3980,19704
46,"파프리카 혼합, 1봉",1700,1738
47,"종근당건강 락토핏 생유산균 골드, 100g, 3개",30460,28479
48,"포항시 인증 구룡포 반건 오징어 5미 (냉동), 500g, 1개",21500,2747
49,"모아미트 보리먹인 암퇘지 삼겹살 구이용 (냉장), 1kg, 1개",17400,1921
50,"곰곰 단백질바, 50g, 12개입",11790,3220
51,"곰곰 고당도 수박, 7kg미만, 1통",13490,288
52,"집으로온 에어프라이어 한입돈까스 (냉동), 900g, 1개",10900,781
53,"스타벅스 대용량 카페 라떼, 270ml, 10개",17890,5393
54,"크리스피크림도넛 오리지널 글레이즈드, 47g, 6개",7800,952
55,"서울우유 더 진한 플레인 요거트 당무첨가, 1800ml, 1개",6500,3615
56,"GAP 인증 추부깻잎, 1봉",1020,2304
57,"곰곰 당도선별 세척사과, 2kg, 1박스",14300,14253
58,"곰곰 반숙란 (냉장), 50g, 20구",6960,2927
59,"대만식 샌드위치 삼색샌드, 80g, 4개",7900,558
